Ticker,Sector
AAA,UNKNOWN
ABB,Ngân hàng
ACB,Ngân hàng
AGR,Chứng khoán
ANV,Thủy sản
APG,Chứng khoán
APH,UNKNOWN
ASM,Thủy sản
BAF,Nông nghiệp - Chăn nuôi
BCM,Bất động sản
BFC,UNKNOWN
BID,Ngân hàng
BMP,Vật liệu xây dựng
BSR,Dầu khí
BVB,Ngân hàng
BVS,Chứng khoán
C32,Xây dựng - Hạ tầng
CEO,Bất động sản
CII,Bất động sản
CMG,Công nghệ
CNG,Dầu khí
CRE,Bất động sản
CSV,Phân bón - Hóa chất
CTD,Xây dựng - Hạ tầng
CTG,Ngân hàng
CTR,UNKNOWN
CTS,Chứng khoán
DBC,Nông nghiệp - Chăn nuôi
DCM,Phân bón - Hóa chất
DGC,Phân bón - Hóa chất
DGW,Bán lẻ
DHA,Vật liệu xây dựng
DHC,UNKNOWN
DIG,Bất động sản
DPM,Phân bón - Hóa chất
DRC,Cao su - Khu công nghiệp
DXG,Bất động sản
EIB,Ngân hàng
ELC,Công nghệ
EVF,UNKNOWN
FCN,Xây dựng - Hạ tầng
FPT,Công nghệ
FRT,Bán lẻ
FTS,Chứng khoán
GAS,Dầu khí
GIL,Dệt may
GMD,Cảng biển - Logistics
GVR,Cao su - Khu công nghiệp
HAG,Nông nghiệp - Chăn nuôi
HAH,Cảng biển - Logistics
HBC,Xây dựng - Hạ tầng
HCM,Chứng khoán
HDB,Ngân hàng
HDG,Bất động sản
HHS,UNKNOWN
HHV,Xây dựng - Hạ tầng
HNG,Nông nghiệp - Chăn nuôi
HPG,Thép
HSG,Thép
IDC,Khu công nghiệp
IDI,Thủy sản
IJC,Bất động sản
ITA,Bất động sản
IVS,Chứng khoán
KBC,Khu công nghiệp
KDC,Hàng tiêu dùng
KDH,Bất động sản
KSB,Vật liệu xây dựng
LAS,Phân bón - Hóa chất
LCG,Bất động sản
LPB,Ngân hàng
MBB,Ngân hàng
MBS,Chứng khoán
MSB,Ngân hàng
MSH,Dệt may
MSN,Hàng tiêu dùng
MWG,Bán lẻ
NBB,UNKNOWN
NKG,Thép
NLG,Bất động sản
NT2,Điện - Năng lượng
NTP,Vật liệu xây dựng
OCB,Ngân hàng
OIL,UNKNOWN
ORS,Chứng khoán
PAN,Nông nghiệp - Chăn nuôi
PC1,UNKNOWN
PDR,Bất động sản
PET,Bán lẻ
PHP,UNKNOWN
PLX,UNKNOWN
PNJ,Bán lẻ
POW,Điện - Năng lượng
PVD,Dầu khí
PVS,Dầu khí
PVT,Dầu khí
QNS,UNKNOWN
REE,Điện - Năng lượng
SAB,Hàng tiêu dùng
SBT,UNKNOWN
SCR,Bất động sản
SCS,UNKNOWN
SGT,UNKNOWN
SHB,Ngân hàng
SHS,Chứng khoán
SKG,UNKNOWN
SRC,UNKNOWN
SSB,Ngân hàng
SSI,Chứng khoán
STB,Ngân hàng
STK,UNKNOWN
SZC,Khu công nghiệp
TCB,Ngân hàng
TCH,Bất động sản
TCL,UNKNOWN
TNG,Dệt may
TPB,Ngân hàng
TVS,UNKNOWN
VCB,Ngân hàng
VCG,Xây dựng - Hạ tầng
VCI,Chứng khoán
VGC,UNKNOWN
VHC,Thủy sản
VHM,Bất động sản
VIB,Ngân hàng
VIC,Bất động sản
VIP,UNKNOWN
VIX,Chứng khoán
VN30,UNKNOWN
VND,UNKNOWN
VNINDEX,UNKNOWN
VNM,Hàng tiêu dùng
VOS,UNKNOWN
VPB,Ngân hàng
VPG,UNKNOWN
VRE,BĐS bán lẻ
VSC,Cảng biển - Logistics
VTO,UNKNOWN
