Mã,Ngành
AAA,Nhựa - Hóa chất
ABB,Ngân hàng
ACB,Ngân hàng
AGR,Chứng khoán
ANV,Thủy sản
APG,Chứng khoán
APH,Nhựa - Hóa chất
ASM,Thủy sản
BAF,Chăn nuôi - Thực phẩm
BCM,Bất động sản KCN
BFC,Phân bón - Hóa chất
BID,Ngân hàng
BMP,Nhựa - Vật liệu
BSR,Dầu khí
BVB,Ngân hàng
BVS,Chứng khoán
C32,Vật liệu xây dựng
CEO,Bất động sản
CII,Hạ tầng
CMG,Công nghệ
CNG,Dầu khí
CRE,Bất động sản
CSV,Phân bón - Hóa chất
CTD,Xây dựng
CTG,Ngân hàng
CTR,Viễn thông - Hạ tầng
CTS,Chứng khoán
DBC,Chăn nuôi - Thực phẩm
DCM,Phân bón - Hóa chất
DGC,Phân bón - Hóa chất
DGW,Bán lẻ - Phân phối
DHA,Vật liệu xây dựng
DHC,Giấy - Bao bì
DIG,Bất động sản
DPM,Phân bón - Hóa chất
DRC,Cao su săm lốp
DXG,Bất động sản
EIB,Ngân hàng
ELC,Công nghệ
EVF,Tài chính
FCN,Xây dựng - Hạ tầng
FPT,Công nghệ
FRT,Bán lẻ
FTS,Chứng khoán
GAS,Dầu khí
GIL,Dệt may
GMD,Cảng biển - Logistics
GVR,Bất động sản KCN
HAG,Nông nghiệp
HAH,Cảng biển - Logistics
HBC,Xây dựng
HCM,Chứng khoán
HDB,Ngân hàng
HDG,Bất động sản - Năng lượng
HHS,Ô tô - Phân phối
HHV,Hạ tầng
HNG,Nông nghiệp
HPG,Thép
HSG,Thép
IDC,Khác
IDI,Thủy sản
IJC,Bất động sản - Hạ tầng
ITA,Bất động sản KCN
IVS,Chứng khoán
KBC,Bất động sản KCN
KDC,Thực phẩm
KDH,Bất động sản
KSB,Vật liệu xây dựng
LAS,Phân bón - Hóa chất
LCG,Xây dựng - Hạ tầng
LPB,Ngân hàng
MBB,Ngân hàng
MBS,Chứng khoán
MSB,Ngân hàng
MSH,Dệt may
MSN,Tiêu dùng
MWG,Bán lẻ
NBB,Bất động sản
NKG,Thép
NLG,Bất động sản
NT2,Điện
NTP,Nhựa - Vật liệu
OCB,Ngân hàng
OIL,Dầu khí
ORS,Chứng khoán
PAN,Nông nghiệp - Thực phẩm
PC1,Điện - Xây lắp
PDR,Bất động sản
PET,Dầu khí - Phân phối
PHP,Cảng biển - Logistics
PLX,Dầu khí
PNJ,Bán lẻ
POW,Điện
PVD,Dầu khí
PVS,Dầu khí
PVT,Vận tải dầu khí
QNS,Thực phẩm
REE,Điện - Cơ điện lạnh
SAB,Đồ uống
SBT,Đường
SCR,Bất động sản
SCS,Hàng không - Logistics
SGT,Bất động sản KCN
SHB,Ngân hàng
SHS,Chứng khoán
SKG,Vận tải
SRC,Cao su săm lốp
SSB,Ngân hàng
SSI,Chứng khoán
STB,Ngân hàng
STK,Dệt may
SZC,Bất động sản KCN
TCB,Ngân hàng
TCH,Bất động sản - Ô tô
TCL,Cảng biển - Logistics
TNG,Dệt may
TPB,Ngân hàng
TVS,Chứng khoán
VCB,Ngân hàng
VCG,Xây dựng - Hạ tầng
VCI,Chứng khoán
VGC,Bất động sản KCN
VHC,Thủy sản
VHM,Bất động sản
VIB,Ngân hàng
VIC,Bất động sản
VIP,Vận tải dầu khí
VIX,Chứng khoán
VN30,Chỉ số
VND,Chứng khoán
VNINDEX,Chỉ số
VNM,Thực phẩm
VOS,Vận tải biển
VPB,Ngân hàng
VPG,Thép
VRE,Bất động sản bán lẻ
VSC,Cảng biển - Logistics
VTO,Vận tải dầu khí
